author_id,n_windows,n_anomalous,anomaly_rate,temporal_entropy_norm,autocorr_risk_lag1,classification
brauner,13,10,0.7692307692307693,0.9854752972273344,0.4648348802157267,stable_trait
brianhuster,38,12,0.3157894736842105,0.75,0.7941386170478132,stable_trait
brunoerg,25,6,0.24,0.7295739585136225,0.6971443991299744,stable_trait
captain5050,18,4,0.2222222222222222,0.4056390622295664,0.6692141232589612,mixed
chsigg,39,5,0.1282051282051282,0.0,0.6230522149585488,emergent_state
clason,213,82,0.3849765258215962,0.970024655012263,0.8301871460508908,stable_trait
connor4312,137,17,0.1240875912408759,0.4890077783311207,0.7673691416234936,emergent_state
darosior,40,9,0.225,0.6121972227029931,0.7258047736400781,mixed
davidgumberg,47,3,0.0638297872340425,0.4591479170272447,0.7145842861623972,emergent_state
dbaeumer,18,3,0.1666666666666666,0.4591479170272447,0.7687546233006429,mixed
ddunl,41,11,0.2682926829268293,0.6610896727583333,0.7531384399214537,stable_trait
deepak1556,29,2,0.0689655172413793,0.0,0.5198293005074579,emergent_state
deqiangc,11,2,0.1818181818181818,0.0,0.6427094494648965,mixed
derdrdirk,37,5,0.1351351351351351,0.3609640474436811,0.7421355575284229,emergent_state
dmitrivMS,53,8,0.1509433962264151,0.6493974703476993,0.8038502323863036,mixed
dsharletg,30,6,0.2,0.325011210824177,0.6825276089673216,mixed
dummdidumm,188,24,0.1276595744680851,0.9856259180022332,0.7916810631466922,mixed
dundargoc,16,5,0.3125,0.3609640474436811,0.8384493570952661,mixed
ebiggers@kernel.org,16,12,0.75,0.9276942711037668,0.0278439760385374,stable_trait
ecalubaquib,21,8,0.3809523809523809,0.4772170014624825,0.7326343703023407,mixed
echasnovski,78,14,0.1794871794871795,0.9211854965885544,0.7113038016892483,stable_trait
edumazet,21,3,0.1428571428571428,0.4591479170272447,0.7518527067150842,emergent_state
ekayaaslan,21,2,0.0952380952380952,0.0,0.664021282973165,emergent_state
eli-w-king,23,6,0.2608695652173913,0.7295739585136225,0.3311624892542518,stable_trait
elliott-with-the-longest-name-on-github,29,4,0.1379310344827586,0.0,0.7052298351856215,emergent_state
emilyfertig,16,2,0.125,0.5,0.6272246456469027,emergent_state
eps1lon,242,18,0.0743801652892562,0.5970868671284559,0.6484110045034857,emergent_state
ermilovmaxim,37,6,0.1621621621621621,0.7295739585136225,0.8325668515345007,stable_trait
ezhulenev,228,39,0.1710526315789473,0.9589522006192224,0.7160462375225074,stable_trait
fanquake,889,91,0.1023622047244094,0.9888456621532108,0.7690405320699873,mixed
fjahr,43,9,0.2093023255813953,0.2516291673878228,0.8957065487178397,mixed
frgossen@google.com,22,5,0.2272727272727272,0.6854752972273345,0.894984925880919,stable_trait
furszy,24,2,0.0833333333333333,0.5,0.1554849157274769,emergent_state
ghpvnist,17,10,0.5882352941176471,0.9232196723355078,0.748054022142224,stable_trait
glepnir,117,30,0.2564102564102564,0.8616157143988104,0.8497202628508047,stable_trait
glozow,179,19,0.106145251396648,0.764400907262659,0.7967110680058819,mixed
golechwierowicz,16,2,0.125,0.5,0.3517901049349576,emergent_state
hawkinsp,41,10,0.2439024390243902,0.7854752972273344,0.7792359831971652,stable_trait
hcahca,16,5,0.3125,0.4854752972273344,0.6981479197164161,mixed
hebasto,308,51,0.1655844155844155,0.9661173496844156,0.7580330539735748,stable_trait
hediet,70,7,0.1,0.6893917467430878,0.7554685094275676,mixed
hhb,31,2,0.064516129032258,0.5,0.5135530507061851,emergent_state
hodlinator,54,5,0.0925925925925925,0.4854752972273344,0.7672551649334675,emergent_state
hoxyq,88,3,0.034090909090909,0.792481250360578,0.5506683656298416,mixed
isidorn,12,4,0.3333333333333333,0.5,0.4729353583614619,mixed
ismaelsadeeq,32,2,0.0625,0.5,0.7899665730313685,emergent_state
janlazo,108,49,0.4537037037037037,0.9754572861538948,0.8381483640512997,stable_trait
jnikula,25,7,0.28,0.5744174271404584,0.3946731956102096,mixed
joaomoreno,19,2,0.1052631578947368,0.5,0.8107380666774937,emergent_state
josephsavona,153,22,0.1437908496732026,0.8708419470045384,0.6617950596148409,mixed
jrieken,95,12,0.1263157894736842,0.9276942711037668,0.7216303103037885,mixed
junwhanahn,73,11,0.1506849315068493,0.7455574250275929,0.722043110680587,mixed
justinmk,339,137,0.4041297935103244,0.9728800787776376,0.7273003495807253,stable_trait
justschen,67,8,0.1194029850746268,0.4772170014624825,0.7766278802166154,emergent_state
kassens,32,8,0.25,0.875,0.446544551672696,stable_trait
kees,10,2,0.2,0.5,0.6806650660693114,mixed
kent.overstreet@linux.dev,15,4,0.2666666666666666,0.75,-0.0420044677505122,stable_trait
l0rinc,147,21,0.1428571428571428,0.7549843063184085,0.803694252948191,mixed
legomushroom,117,3,0.0256410256410256,0.4591479170272447,0.6650866429417128,emergent_state
lewis6991,29,4,0.1379310344827586,0.5,0.6226836563435865,emergent_state
lramos15,49,2,0.0408163265306122,0.0,0.6980214398572523,emergent_state
lszomoru,132,4,0.0303030303030303,0.4056390622295664,0.7091826924502721,emergent_state
lucaceresoli,13,3,0.2307692307692307,0.0,0.3122039686190166,mixed
luukvbaal,161,36,0.2236024844720497,0.9406040441107586,0.8401042365437067,stable_trait
matb@microsoft.com,102,13,0.1274509803921568,0.8071654175796328,0.7358326614724741,mixed
meganrogge,109,4,0.036697247706422,0.75,0.7139187833471836,mixed
metaflow,57,7,0.1228070175438596,0.9211854965885544,0.8127064282755109,mixed
michaelfaith,10,3,0.3,0.4591479170272447,0.7100423220765513,mixed
mjbvz,119,13,0.1092436974789916,0.9131226292013046,0.724995081340093,mixed
mkuperst,41,5,0.1219512195121951,0.4854752972273344,0.7398260746628226,emergent_state
mofeiZ,60,7,0.1166666666666666,0.4315602842833155,0.7050542958908776,emergent_state
mrguenther,14,8,0.5714285714285714,0.7806390622295662,0.6982945856676475,stable_trait
mrleemurray,83,9,0.108433734939759,0.3821022532543101,0.6652162090192981,emergent_state
mwajdecz,12,2,0.1666666666666666,0.5,0.3728895939689305,mixed
mwhittaker,35,7,0.2,0.4315602842833155,0.7317374823297523,mixed
mzumsande,35,3,0.0857142857142857,0.0,0.7973367838475284,emergent_state
namjaejeon,12,9,0.75,0.792481250360578,0.2114866927675071,stable_trait
nvgrw,73,4,0.0547945205479452,0.4056390622295664,0.627550879806162,emergent_state
ofseed,56,18,0.3214285714285714,0.9625632797054146,0.779591208154369,stable_trait
osortega,94,10,0.1063829787234042,0.7854752972273344,0.7148412521562395,mixed
pablomartin4btc,21,2,0.0952380952380952,0.0,0.7748083358550321,emergent_state
penpornk,28,2,0.0714285714285714,0.0,0.7731730697170816,emergent_state
phanen,28,14,0.5,0.8942252286541448,0.6410844378429335,stable_trait
pifon2a,56,20,0.3571428571428571,0.6977309221191609,0.7815311321493222,stable_trait
pizzud,17,4,0.2352941176470588,0.4056390622295664,0.7393829039531851,mixed
polespinasa,17,7,0.4117647058823529,0.7244078178625923,0.6500554250474636,stable_trait
poteto,223,30,0.1345291479820627,0.9450537400706276,0.7355023790932113,mixed
pschuh,75,4,0.0533333333333333,0.4056390622295664,0.7046919172989617,emergent_state
rafaeljw,32,4,0.125,0.4056390622295664,0.6388739390380335,emergent_state
ribru17,52,8,0.1538461538461538,0.9528195311147832,0.7511364475166756,mixed
rickhanlonii,64,19,0.296875,0.8931506005858197,0.8118005735613015,stable_trait
rkrux,47,4,0.0851063829787234,0.75,0.6218750664413404,mixed
roblourens,152,54,0.3552631578947368,0.925253458829687,0.7773442205738738,stable_trait
ryanofsky,112,7,0.0625,0.6893917467430878,0.7781095776789074,mixed
rzhao271,26,3,0.1153846153846153,0.0,0.4997073245064352,emergent_state
sandy081,96,11,0.1145833333333333,0.7863118319475819,0.8089192956786315,mixed
sdaftuar,41,6,0.1463414634146341,0.325011210824177,0.6572948254981216,emergent_state
seandewar,60,12,0.2,0.325011210824177,0.5707982984299571,mixed
seantalts,23,2,0.0869565217391304,0.0,0.1812787567946113,emergent_state
sebmarkbage,425,29,0.068235294117647,0.751002350452544,0.7866719442359015,mixed
sedited,147,9,0.0612244897959183,0.9182958340544894,0.656922564921755,mixed
sipa,83,14,0.1686746987951807,0.7653094974242585,0.82955445420757,stable_trait
sjp38,35,28,0.8,0.9813785236762208,0.5301147668462156,stable_trait
superatomic,13,3,0.2307692307692307,0.4591479170272447,0.6525575081381912,mixed
thcmbs,25,2,0.08,0.0,0.74431092781916,emergent_state
theStack,46,12,0.2608695652173913,0.4056390622295664,0.8610733506540842,mixed
tiwai,26,11,0.4230769230769231,0.769742378465751,0.8616881068559473,stable_trait
tomnatan30,14,3,0.2142857142857142,0.4591479170272447,0.5049336498482349,mixed
tomtomjhj,21,11,0.5238095238095238,0.8949645376549995,0.5592024175969522,stable_trait
torvalds,193,76,0.3937823834196891,0.9816082334880524,0.7103176577747523,stable_trait
unstubbable,42,2,0.0476190476190476,0.0,0.6754819931695285,emergent_state
vasild,34,7,0.2058823529411764,0.7783283537314115,0.7404304520345015,stable_trait
viro@zeniv.linux.org.uk,15,2,0.1333333333333333,0.0,0.7062901815723197,emergent_state
vwbaker,39,3,0.0769230769230769,0.4591479170272447,0.6138964563862167,emergent_state
w0xlt,21,3,0.1428571428571428,0.4591479170272447,0.8245091998365535,emergent_state
willcl-ark,53,13,0.2452830188679245,0.4978637260424628,0.8050069981322087,mixed
willdeacon,11,2,0.1818181818181818,0.0,0.8619596622222062,mixed
willy@infradead.org,35,10,0.2857142857142857,0.4609640474436812,0.7092925407941726,mixed
zeertzjq,1380,227,0.1644927536231884,0.9772134753487576,0.8119705054662166,stable_trait
zhichli,31,3,0.0967741935483871,0.792481250360578,0.5770342159917409,mixed
